"issueId","severity","status","category","rawRecordId","url","currentH1","modelReference","recommendation"
"raw-009-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-009","https://cowinmachine.com/products/magnetic-separators/mag-series-009-009","Magnetic Separator","Series-009","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-010-family-or-series","low","family-or-series","magnetic-separators","raw-010","https://cowinmachine.com/products/magnetic-separators/mag-series-010-010","Magnetic Separator","Series-010","Confirm page evidence and product identity with the owner."
"raw-010-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-010","https://cowinmachine.com/products/magnetic-separators/mag-series-010-010","Magnetic Separator","Series-010","Request a manufacturer model or approved family designation."
"raw-010-missing-specification","medium","missing-specification","magnetic-separators","raw-010","https://cowinmachine.com/products/magnetic-separators/mag-series-010-010","Magnetic Separator","Series-010","Obtain approved model-specific specification data before a technical rewrite."
"raw-010-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-010","https://cowinmachine.com/products/magnetic-separators/mag-series-010-010","Magnetic Separator","Series-010","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-011-family-or-series","low","family-or-series","magnetic-separators","raw-011","https://cowinmachine.com/products/magnetic-separators/mag-series-011-011","Magnetic Separator","Series-011","Confirm page evidence and product identity with the owner."
"raw-011-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-011","https://cowinmachine.com/products/magnetic-separators/mag-series-011-011","Magnetic Separator","Series-011","Request a manufacturer model or approved family designation."
"raw-011-missing-specification","medium","missing-specification","magnetic-separators","raw-011","https://cowinmachine.com/products/magnetic-separators/mag-series-011-011","Magnetic Separator","Series-011","Obtain approved model-specific specification data before a technical rewrite."
"raw-011-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-011","https://cowinmachine.com/products/magnetic-separators/mag-series-011-011","Magnetic Separator","Series-011","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-012-family-or-series","low","family-or-series","magnetic-separators","raw-012","https://cowinmachine.com/products/magnetic-separators/mag-series-012-012","Wet Magnetic Separator","Series-012","Confirm page evidence and product identity with the owner."
"raw-012-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-012","https://cowinmachine.com/products/magnetic-separators/mag-series-012-012","Wet Magnetic Separator","Series-012","Request a manufacturer model or approved family designation."
"raw-012-missing-specification","medium","missing-specification","magnetic-separators","raw-012","https://cowinmachine.com/products/magnetic-separators/mag-series-012-012","Wet Magnetic Separator","Series-012","Obtain approved model-specific specification data before a technical rewrite."
"raw-012-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-012","https://cowinmachine.com/products/magnetic-separators/mag-series-012-012","Wet Magnetic Separator","Series-012","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-013-family-or-series","low","family-or-series","magnetic-separators","raw-013","https://cowinmachine.com/products/magnetic-separators/mag-series-013-013","Wet Magnetic Separator","Series-013","Confirm page evidence and product identity with the owner."
"raw-013-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-013","https://cowinmachine.com/products/magnetic-separators/mag-series-013-013","Wet Magnetic Separator","Series-013","Request a manufacturer model or approved family designation."
"raw-013-missing-specification","medium","missing-specification","magnetic-separators","raw-013","https://cowinmachine.com/products/magnetic-separators/mag-series-013-013","Wet Magnetic Separator","Series-013","Obtain approved model-specific specification data before a technical rewrite."
"raw-013-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-013","https://cowinmachine.com/products/magnetic-separators/mag-series-013-013","Wet Magnetic Separator","Series-013","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-014-family-or-series","low","family-or-series","magnetic-separators","raw-014","https://cowinmachine.com/products/magnetic-separators/mag-series-014-014","Drum Magnetic Separator","Series-014","Confirm page evidence and product identity with the owner."
"raw-014-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-014","https://cowinmachine.com/products/magnetic-separators/mag-series-014-014","Drum Magnetic Separator","Series-014","Request a manufacturer model or approved family designation."
"raw-014-missing-specification","medium","missing-specification","magnetic-separators","raw-014","https://cowinmachine.com/products/magnetic-separators/mag-series-014-014","Drum Magnetic Separator","Series-014","Obtain approved model-specific specification data before a technical rewrite."
"raw-014-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-014","https://cowinmachine.com/products/magnetic-separators/mag-series-014-014","Drum Magnetic Separator","Series-014","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-015-family-or-series","low","family-or-series","magnetic-separators","raw-015","https://cowinmachine.com/products/magnetic-separators/mag-series-015-015","Dry Magnetic Separator","Series-015","Confirm page evidence and product identity with the owner."
"raw-015-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-015","https://cowinmachine.com/products/magnetic-separators/mag-series-015-015","Dry Magnetic Separator","Series-015","Request a manufacturer model or approved family designation."
"raw-015-missing-specification","medium","missing-specification","magnetic-separators","raw-015","https://cowinmachine.com/products/magnetic-separators/mag-series-015-015","Dry Magnetic Separator","Series-015","Obtain approved model-specific specification data before a technical rewrite."
"raw-015-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-015","https://cowinmachine.com/products/magnetic-separators/mag-series-015-015","Dry Magnetic Separator","Series-015","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-016-family-or-series","low","family-or-series","magnetic-separators","raw-016","https://cowinmachine.com/products/magnetic-separators/mag-series-016-016","Magnetic Separator","Series-016","Confirm page evidence and product identity with the owner."
"raw-016-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-016","https://cowinmachine.com/products/magnetic-separators/mag-series-016-016","Magnetic Separator","Series-016","Request a manufacturer model or approved family designation."
"raw-016-missing-specification","medium","missing-specification","magnetic-separators","raw-016","https://cowinmachine.com/products/magnetic-separators/mag-series-016-016","Magnetic Separator","Series-016","Obtain approved model-specific specification data before a technical rewrite."
"raw-016-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-016","https://cowinmachine.com/products/magnetic-separators/mag-series-016-016","Magnetic Separator","Series-016","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-017-family-or-series","low","family-or-series","magnetic-separators","raw-017","https://cowinmachine.com/products/magnetic-separators/mag-series-017-017","Drum Magnetic Separator","Series-017","Confirm page evidence and product identity with the owner."
"raw-017-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-017","https://cowinmachine.com/products/magnetic-separators/mag-series-017-017","Drum Magnetic Separator","Series-017","Request a manufacturer model or approved family designation."
"raw-017-missing-specification","medium","missing-specification","magnetic-separators","raw-017","https://cowinmachine.com/products/magnetic-separators/mag-series-017-017","Drum Magnetic Separator","Series-017","Obtain approved model-specific specification data before a technical rewrite."
"raw-017-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-017","https://cowinmachine.com/products/magnetic-separators/mag-series-017-017","Drum Magnetic Separator","Series-017","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-018-family-or-series","low","family-or-series","magnetic-separators","raw-018","https://cowinmachine.com/products/magnetic-separators/mag-series-018-018","Drum Magnetic Separator","Series-018","Confirm page evidence and product identity with the owner."
"raw-018-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-018","https://cowinmachine.com/products/magnetic-separators/mag-series-018-018","Drum Magnetic Separator","Series-018","Request a manufacturer model or approved family designation."
"raw-018-missing-specification","medium","missing-specification","magnetic-separators","raw-018","https://cowinmachine.com/products/magnetic-separators/mag-series-018-018","Drum Magnetic Separator","Series-018","Obtain approved model-specific specification data before a technical rewrite."
"raw-018-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-018","https://cowinmachine.com/products/magnetic-separators/mag-series-018-018","Drum Magnetic Separator","Series-018","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-019-missing-specification","medium","missing-specification","magnetic-separators","raw-019","https://cowinmachine.com/products/magnetic-separators/mag-rcda-019","RCDA Electromagnetic Magnetic Separator","RCDA","Obtain approved model-specific specification data before a technical rewrite."
"raw-020-missing-specification","medium","missing-specification","magnetic-separators","raw-020","https://cowinmachine.com/products/magnetic-separators/mag-rcdc-020","RCDC Automatic-Discharge Electromagnetic Magnetic Separator","RCDC","Obtain approved model-specific specification data before a technical rewrite."
"raw-021-missing-specification","medium","missing-specification","magnetic-separators","raw-021","https://cowinmachine.com/products/magnetic-separators/mag-rcde-021","RCDE Electromagnetic Magnetic Separator","RCDE","Obtain approved model-specific specification data before a technical rewrite."
"raw-022-missing-specification","medium","missing-specification","magnetic-separators","raw-022","https://cowinmachine.com/products/magnetic-separators/mag-rcdf-022","RCDF Automatic-Discharge Electromagnetic Magnetic Separator","RCDF","Obtain approved model-specific specification data before a technical rewrite."
"raw-023-missing-specification","medium","missing-specification","magnetic-separators","raw-023","https://cowinmachine.com/products/magnetic-separators/mag-rcdfj-023","RCDFJ Automatic-Discharge Electromagnetic Magnetic Separator","RCDFJ","Obtain approved model-specific specification data before a technical rewrite."
"raw-024-missing-specification","medium","missing-specification","magnetic-separators","raw-024","https://cowinmachine.com/products/magnetic-separators/mag-rcps-024","RCPS Automatic-Discharge Permanent Magnetic Separator","RCPS","Obtain approved model-specific specification data before a technical rewrite."
"raw-025-family-or-series","low","family-or-series","magnetic-separators","raw-025","https://cowinmachine.com/products/magnetic-separators/mag-series-025-025","Drum Magnetic Separator","Series-025","Confirm page evidence and product identity with the owner."
"raw-025-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-025","https://cowinmachine.com/products/magnetic-separators/mag-series-025-025","Drum Magnetic Separator","Series-025","Request a manufacturer model or approved family designation."
"raw-025-missing-specification","medium","missing-specification","magnetic-separators","raw-025","https://cowinmachine.com/products/magnetic-separators/mag-series-025-025","Drum Magnetic Separator","Series-025","Obtain approved model-specific specification data before a technical rewrite."
"raw-025-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-025","https://cowinmachine.com/products/magnetic-separators/mag-series-025-025","Drum Magnetic Separator","Series-025","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-026-missing-specification","medium","missing-specification","magnetic-separators","raw-026","https://cowinmachine.com/products/magnetic-separators/mag-rcya-026","RCYA Permanent Magnetic Separator","RCYA","Obtain approved model-specific specification data before a technical rewrite."
"raw-027-missing-specification","medium","missing-specification","magnetic-separators","raw-027","https://cowinmachine.com/products/magnetic-separators/mag-rcydii-027","RCYDII Automatic-Discharge Permanent Magnetic Separator","RCYDII","Obtain approved model-specific specification data before a technical rewrite."
"raw-028-missing-specification","medium","missing-specification","magnetic-separators","raw-028","https://cowinmachine.com/products/magnetic-separators/mag-rcye-028","RCYE Automatic-Discharge Permanent Magnetic Separator","RCYE","Obtain approved model-specific specification data before a technical rewrite."
"raw-029-missing-specification","medium","missing-specification","magnetic-separators","raw-029","https://cowinmachine.com/products/magnetic-separators/mag-rcyf-029","RCYF Permanent Magnetic Separator","RCYF","Obtain approved model-specific specification data before a technical rewrite."
"raw-030-missing-specification","medium","missing-specification","magnetic-separators","raw-030","https://cowinmachine.com/products/magnetic-separators/mag-rcyg-030","RCYG Automatic-Discharge Permanent Magnetic Separator","RCYG","Obtain approved model-specific specification data before a technical rewrite."
"raw-031-missing-specification","medium","missing-specification","magnetic-separators","raw-031","https://cowinmachine.com/products/magnetic-separators/mag-rcyp-031","RCYP Automatic-Discharge Manual-Clean Permanent Magnetic Separator","RCYP","Obtain approved model-specific specification data before a technical rewrite."
"raw-032-missing-specification","medium","missing-specification","magnetic-separators","raw-032","https://cowinmachine.com/products/magnetic-separators/mag-rcyz-032","RCYZ Permanent Magnetic Separator","RCYZ","Obtain approved model-specific specification data before a technical rewrite."
"raw-032-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-032","https://cowinmachine.com/products/magnetic-separators/mag-rcyz-032","RCYZ Permanent Magnetic Separator","RCYZ","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-033-family-or-series","low","family-or-series","magnetic-separators","raw-033","https://cowinmachine.com/products/magnetic-separators/mag-series-033-033","Magnetic Separator","Series-033","Confirm page evidence and product identity with the owner."
"raw-033-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-033","https://cowinmachine.com/products/magnetic-separators/mag-series-033-033","Magnetic Separator","Series-033","Request a manufacturer model or approved family designation."
"raw-033-missing-specification","medium","missing-specification","magnetic-separators","raw-033","https://cowinmachine.com/products/magnetic-separators/mag-series-033-033","Magnetic Separator","Series-033","Obtain approved model-specific specification data before a technical rewrite."
"raw-033-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-033","https://cowinmachine.com/products/magnetic-separators/mag-series-033-033","Magnetic Separator","Series-033","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-034-family-or-series","low","family-or-series","magnetic-separators","raw-034","https://cowinmachine.com/products/magnetic-separators/mag-series-034-034","Wet Magnetic Separator","Series-034","Confirm page evidence and product identity with the owner."
"raw-034-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-034","https://cowinmachine.com/products/magnetic-separators/mag-series-034-034","Wet Magnetic Separator","Series-034","Request a manufacturer model or approved family designation."
"raw-034-missing-specification","medium","missing-specification","magnetic-separators","raw-034","https://cowinmachine.com/products/magnetic-separators/mag-series-034-034","Wet Magnetic Separator","Series-034","Obtain approved model-specific specification data before a technical rewrite."
"raw-034-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-034","https://cowinmachine.com/products/magnetic-separators/mag-series-034-034","Wet Magnetic Separator","Series-034","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-035-family-or-series","low","family-or-series","magnetic-separators","raw-035","https://cowinmachine.com/products/magnetic-separators/mag-series-035-035","Wet Magnetic Separator","Series-035","Confirm page evidence and product identity with the owner."
"raw-035-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-035","https://cowinmachine.com/products/magnetic-separators/mag-series-035-035","Wet Magnetic Separator","Series-035","Request a manufacturer model or approved family designation."
"raw-035-missing-specification","medium","missing-specification","magnetic-separators","raw-035","https://cowinmachine.com/products/magnetic-separators/mag-series-035-035","Wet Magnetic Separator","Series-035","Obtain approved model-specific specification data before a technical rewrite."
"raw-035-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-035","https://cowinmachine.com/products/magnetic-separators/mag-series-035-035","Wet Magnetic Separator","Series-035","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-036-family-or-series","low","family-or-series","magnetic-separators","raw-036","https://cowinmachine.com/products/magnetic-separators/mag-series-036-036","Dry Magnetic Separator","Series-036","Confirm page evidence and product identity with the owner."
"raw-036-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-036","https://cowinmachine.com/products/magnetic-separators/mag-series-036-036","Dry Magnetic Separator","Series-036","Request a manufacturer model or approved family designation."
"raw-036-missing-specification","medium","missing-specification","magnetic-separators","raw-036","https://cowinmachine.com/products/magnetic-separators/mag-series-036-036","Dry Magnetic Separator","Series-036","Obtain approved model-specific specification data before a technical rewrite."
"raw-036-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-036","https://cowinmachine.com/products/magnetic-separators/mag-series-036-036","Dry Magnetic Separator","Series-036","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-037-family-or-series","low","family-or-series","magnetic-separators","raw-037","https://cowinmachine.com/products/magnetic-separators/mag-series-037-037","Wet Plate Magnetic Separator","Series-037","Confirm page evidence and product identity with the owner."
"raw-037-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-037","https://cowinmachine.com/products/magnetic-separators/mag-series-037-037","Wet Plate Magnetic Separator","Series-037","Request a manufacturer model or approved family designation."
"raw-037-missing-specification","medium","missing-specification","magnetic-separators","raw-037","https://cowinmachine.com/products/magnetic-separators/mag-series-037-037","Wet Plate Magnetic Separator","Series-037","Obtain approved model-specific specification data before a technical rewrite."
"raw-038-family-or-series","low","family-or-series","magnetic-separators","raw-038","https://cowinmachine.com/products/magnetic-separators/mag-series-038-038","Wet Magnetic Separator","Series-038","Confirm page evidence and product identity with the owner."
"raw-038-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-038","https://cowinmachine.com/products/magnetic-separators/mag-series-038-038","Wet Magnetic Separator","Series-038","Request a manufacturer model or approved family designation."
"raw-038-missing-specification","medium","missing-specification","magnetic-separators","raw-038","https://cowinmachine.com/products/magnetic-separators/mag-series-038-038","Wet Magnetic Separator","Series-038","Obtain approved model-specific specification data before a technical rewrite."
"raw-038-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-038","https://cowinmachine.com/products/magnetic-separators/mag-series-038-038","Wet Magnetic Separator","Series-038","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-039-family-or-series","low","family-or-series","magnetic-separators","raw-039","https://cowinmachine.com/products/magnetic-separators/mag-series-039-039","Wet Magnetic Separator","Series-039","Confirm page evidence and product identity with the owner."
"raw-039-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-039","https://cowinmachine.com/products/magnetic-separators/mag-series-039-039","Wet Magnetic Separator","Series-039","Request a manufacturer model or approved family designation."
"raw-039-missing-specification","medium","missing-specification","magnetic-separators","raw-039","https://cowinmachine.com/products/magnetic-separators/mag-series-039-039","Wet Magnetic Separator","Series-039","Obtain approved model-specific specification data before a technical rewrite."
"raw-039-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-039","https://cowinmachine.com/products/magnetic-separators/mag-series-039-039","Wet Magnetic Separator","Series-039","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-040-family-or-series","low","family-or-series","magnetic-separators","raw-040","https://cowinmachine.com/products/magnetic-separators/mag-series-040-040","Magnetic Separator","Series-040","Confirm page evidence and product identity with the owner."
"raw-040-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-040","https://cowinmachine.com/products/magnetic-separators/mag-series-040-040","Magnetic Separator","Series-040","Request a manufacturer model or approved family designation."
"raw-040-missing-specification","medium","missing-specification","magnetic-separators","raw-040","https://cowinmachine.com/products/magnetic-separators/mag-series-040-040","Magnetic Separator","Series-040","Obtain approved model-specific specification data before a technical rewrite."
"raw-040-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-040","https://cowinmachine.com/products/magnetic-separators/mag-series-040-040","Magnetic Separator","Series-040","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-041-family-or-series","low","family-or-series","magnetic-separators","raw-041","https://cowinmachine.com/products/magnetic-separators/mag-series-041-041","Wet Magnetic Separator","Series-041","Confirm page evidence and product identity with the owner."
"raw-041-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-041","https://cowinmachine.com/products/magnetic-separators/mag-series-041-041","Wet Magnetic Separator","Series-041","Request a manufacturer model or approved family designation."
"raw-041-missing-specification","medium","missing-specification","magnetic-separators","raw-041","https://cowinmachine.com/products/magnetic-separators/mag-series-041-041","Wet Magnetic Separator","Series-041","Obtain approved model-specific specification data before a technical rewrite."
"raw-041-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-041","https://cowinmachine.com/products/magnetic-separators/mag-series-041-041","Wet Magnetic Separator","Series-041","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-042-family-or-series","low","family-or-series","magnetic-separators","raw-042","https://cowinmachine.com/products/magnetic-separators/mag-series-042-042","Permanent Dry Magnetic Separator","Series-042","Confirm page evidence and product identity with the owner."
"raw-042-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-042","https://cowinmachine.com/products/magnetic-separators/mag-series-042-042","Permanent Dry Magnetic Separator","Series-042","Request a manufacturer model or approved family designation."
"raw-042-missing-specification","medium","missing-specification","magnetic-separators","raw-042","https://cowinmachine.com/products/magnetic-separators/mag-series-042-042","Permanent Dry Magnetic Separator","Series-042","Obtain approved model-specific specification data before a technical rewrite."
"raw-043-family-or-series","low","family-or-series","magnetic-separators","raw-043","https://cowinmachine.com/products/magnetic-separators/mag-series-043-043","Wet Magnetic Separator","Series-043","Confirm page evidence and product identity with the owner."
"raw-043-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-043","https://cowinmachine.com/products/magnetic-separators/mag-series-043-043","Wet Magnetic Separator","Series-043","Request a manufacturer model or approved family designation."
"raw-043-missing-specification","medium","missing-specification","magnetic-separators","raw-043","https://cowinmachine.com/products/magnetic-separators/mag-series-043-043","Wet Magnetic Separator","Series-043","Obtain approved model-specific specification data before a technical rewrite."
"raw-043-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-043","https://cowinmachine.com/products/magnetic-separators/mag-series-043-043","Wet Magnetic Separator","Series-043","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-044-family-or-series","low","family-or-series","magnetic-separators","raw-044","https://cowinmachine.com/products/magnetic-separators/mag-series-044-044","Wet Magnetic Separator","Series-044","Confirm page evidence and product identity with the owner."
"raw-044-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-044","https://cowinmachine.com/products/magnetic-separators/mag-series-044-044","Wet Magnetic Separator","Series-044","Request a manufacturer model or approved family designation."
"raw-044-missing-specification","medium","missing-specification","magnetic-separators","raw-044","https://cowinmachine.com/products/magnetic-separators/mag-series-044-044","Wet Magnetic Separator","Series-044","Obtain approved model-specific specification data before a technical rewrite."
"raw-044-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-044","https://cowinmachine.com/products/magnetic-separators/mag-series-044-044","Wet Magnetic Separator","Series-044","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-045-family-or-series","low","family-or-series","magnetic-separators","raw-045","https://cowinmachine.com/products/magnetic-separators/mag-series-045-045","Magnetic Separator","Series-045","Confirm page evidence and product identity with the owner."
"raw-045-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-045","https://cowinmachine.com/products/magnetic-separators/mag-series-045-045","Magnetic Separator","Series-045","Request a manufacturer model or approved family designation."
"raw-045-missing-specification","medium","missing-specification","magnetic-separators","raw-045","https://cowinmachine.com/products/magnetic-separators/mag-series-045-045","Magnetic Separator","Series-045","Obtain approved model-specific specification data before a technical rewrite."
"raw-045-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-045","https://cowinmachine.com/products/magnetic-separators/mag-series-045-045","Magnetic Separator","Series-045","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-046-family-or-series","low","family-or-series","magnetic-separators","raw-046","https://cowinmachine.com/products/magnetic-separators/mag-series-046-046","Dry Magnetic Separator","Series-046","Confirm page evidence and product identity with the owner."
