"canonicalId","category","family","model","currentUrls","primary","secondary","longTail","buyerIntent"
"cp-017-magnetic-separators-rcya","magnetic-separators","Permanent Magnetic Separator","RCYA","https://cowinmachine.com/products/magnetic-separators/mag-rcya-026","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcya magnetic separator | rcya specifications | rcya permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-018-magnetic-separators-rcydii","magnetic-separators","Automatic-Discharge Permanent Magnetic Separator","RCYDII","https://cowinmachine.com/products/magnetic-separators/mag-rcydii-027","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcydii magnetic separator | rcydii specifications | rcydii automatic-discharge permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-019-magnetic-separators-rcye","magnetic-separators","Automatic-Discharge Permanent Magnetic Separator","RCYE","https://cowinmachine.com/products/magnetic-separators/mag-rcye-028","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcye magnetic separator | rcye specifications | rcye automatic-discharge permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-020-magnetic-separators-rcyf","magnetic-separators","Permanent Magnetic Separator","RCYF","https://cowinmachine.com/products/magnetic-separators/mag-rcyf-029","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcyf magnetic separator | rcyf specifications | rcyf permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-021-magnetic-separators-rcyg","magnetic-separators","Automatic-Discharge Permanent Magnetic Separator","RCYG","https://cowinmachine.com/products/magnetic-separators/mag-rcyg-030","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcyg magnetic separator | rcyg specifications | rcyg automatic-discharge permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-022-magnetic-separators-rcyp","magnetic-separators","Automatic-Discharge Manual-Clean Permanent Magnetic Separator","RCYP","https://cowinmachine.com/products/magnetic-separators/mag-rcyp-031","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcyp magnetic separator | rcyp specifications | rcyp automatic-discharge manual-clean permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-023-magnetic-separators-rcyz","magnetic-separators","Permanent Magnetic Separator","RCYZ","https://cowinmachine.com/products/magnetic-separators/mag-rcyz-032 | https://cowinmachine.com/products/magnetic-separators/mag-rcyz-069","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcyz magnetic separator | rcyz specifications | rcyz permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-024-magnetic-separators-wet-plate-magnetic-separator","magnetic-separators","Wet Plate Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-037-037","magnetic separator | permanent magnetic separator | wet drum magnetic separator | wet magnetic separator","wet drum magnetic separator | wet magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","wet plate magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-025-magnetic-separators-permanent-dry-magnetic-separator","magnetic-separators","Permanent Dry Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-042-042","magnetic separator | permanent magnetic separator | dry drum magnetic separator | dry magnetic separator","dry drum magnetic separator | dry magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","permanent dry magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-026-magnetic-separators-permanent-suspended-magnetic-separator","magnetic-separators","Permanent Suspended Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-053-053","magnetic separator | permanent magnetic separator | suspended magnetic separator | magnetic pulley","suspended magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","permanent suspended magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-027-magnetic-separators-electromagnetic-suspended-magnetic-separator","magnetic-separators","Electromagnetic Suspended Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-054-054","magnetic separator | permanent magnetic separator | electromagnetic separator | suspended magnetic separator","electromagnetic separator | suspended magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | self-cleaning magnetic separator | self-unloading magnetic separator","electromagnetic suspended magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-028-magnetic-separators-metal-detection-magnetic-separator","magnetic-separators","Metal-Detection Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-055-055 | https://cowinmachine.com/products/magnetic-separators/mag-series-056-056","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | metal detector | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","metal-detection magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-029-magnetic-separators-eddy-current-magnetic-separator","magnetic-separators","Eddy-Current Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-057-057 | https://cowinmachine.com/products/magnetic-separators/mag-series-058-058 | https://cowinmachine.com/products/magnetic-separators/mag-series-060-060","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | eddy current separator | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","eddy-current magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-030-magnetic-separators-permanent-overband-magnetic-separator","magnetic-separators","Permanent Overband Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-063-063","magnetic separator | permanent magnetic separator | overband magnetic separator | magnetic pulley","overband magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","permanent overband magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-031-magnetic-separators-roller-magnetic-separator","magnetic-separators","Roller Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-067-067 | https://cowinmachine.com/products/magnetic-separators/mag-series-071-071 | https://cowinmachine.com/products/magnetic-separators/mag-series-072-072","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","roller magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-032-magnetic-separators-wet-roller-magnetic-separator","magnetic-separators","Wet Roller Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-073-073","magnetic separator | permanent magnetic separator | wet drum magnetic separator | wet magnetic separator","wet drum magnetic separator | wet magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","wet roller magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-033-magnetic-separators-permanent-magnetic-separator","magnetic-separators","Permanent Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-080-080 | https://cowinmachine.com/products/magnetic-separators/mag-series-084-084","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-034-magnetic-separators-electromagnetic-magnetic-separator","magnetic-separators","Electromagnetic Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-083-083 | https://cowinmachine.com/products/magnetic-separators/mag-series-085-085 | https://cowinmachine.com/products/magnetic-separators/mag-series-088-088","magnetic separator | permanent magnetic separator | electromagnetic separator | magnetic pulley","electromagnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","electromagnetic magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-035-magnetic-separators-automatic-discharge-electromagnetic-magnetic-separat","magnetic-separators","Automatic-Discharge Electromagnetic Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-086-086","magnetic separator | permanent magnetic separator | electromagnetic separator | magnetic pulley","electromagnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","automatic-discharge electromagnetic magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-036-magnetic-separators-automatic-discharge-permanent-magnetic-separator","magnetic-separators","Automatic-Discharge Permanent Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-087-087","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","automatic-discharge permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-037-mobile-lighting-systems-tower-ust300l-solar-mobile-light-tower","mobile-lighting-systems","TOWER-UST300L Solar Mobile Light Tower","","https://cowinmachine.com/products/mobile-lighting-systems/tower-tower-ust300l-089","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","tower-ust300l solar mobile light tower for industrial projects","mast height | lighting output | battery runtime"
"cp-038-mobile-lighting-systems-ust600l","mobile-lighting-systems","Solar Mobile Light Tower","UST600L","https://cowinmachine.com/products/mobile-lighting-systems/tower-ust600l-090","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","ust600l solar mobile light tower | ust600l specifications | ust600l solar mobile light tower for industrial projects","mast height | lighting output | battery runtime"
"cp-039-mobile-lighting-systems-site-ust900l-solar-mobile-light-tower","mobile-lighting-systems","SITE-UST900L Solar Mobile Light Tower","","https://cowinmachine.com/products/mobile-lighting-systems/tower-site-ust900l-091","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","site-ust900l solar mobile light tower for industrial projects","mast height | lighting output | battery runtime"
"cp-040-mobile-lighting-systems-tower-ust1200l-solar-mobile-light-tower","mobile-lighting-systems","TOWER-UST1200L Solar Mobile Light Tower","","https://cowinmachine.com/products/mobile-lighting-systems/tower-tower-ust1200l-092","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","tower-ust1200l solar mobile light tower for industrial projects","mast height | lighting output | battery runtime"
"cp-041-mobile-lighting-systems-tower-ust1800l-solar-mobile-light-tower","mobile-lighting-systems","TOWER-UST1800L Solar Mobile Light Tower","","https://cowinmachine.com/products/mobile-lighting-systems/tower-tower-ust1800l-093","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","tower-ust1800l solar mobile light tower for industrial projects","mast height | lighting output | battery runtime"
"cp-042-mobile-lighting-systems-tower-ust2400l-solar-mobile-light-tower","mobile-lighting-systems","TOWER-UST2400L Solar Mobile Light Tower","","https://cowinmachine.com/products/mobile-lighting-systems/tower-tower-ust2400l-094","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","tower-ust2400l solar mobile light tower for industrial projects","mast height | lighting output | battery runtime"
"cp-043-mobile-lighting-systems-solar-mobile-light-tower","mobile-lighting-systems","Solar Mobile Light Tower","","https://cowinmachine.com/products/mobile-lighting-systems/tower-series-095-095","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","solar mobile light tower for industrial projects","mast height | lighting output | battery runtime"
"cp-044-mobile-lighting-systems-ust-300s","mobile-lighting-systems","Solar Surveillance Mobile Light Tower","UST-300S","https://cowinmachine.com/products/mobile-lighting-systems/tower-ust-300s-096 | https://cowinmachine.com/products/mobile-lighting-systems/tower-ust-300s-111","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","ust-300s solar mobile light tower | ust-300s specifications | ust-300s solar surveillance mobile light tower for industrial projects","mast height | lighting output | battery runtime"
"cp-045-mobile-lighting-systems-ust-600s","mobile-lighting-systems","Solar Surveillance Mobile Light Tower","UST-600S","https://cowinmachine.com/products/mobile-lighting-systems/tower-ust-600s-097 | https://cowinmachine.com/products/mobile-lighting-systems/tower-ust-600s-105","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","ust-600s solar mobile light tower | ust-600s specifications | ust-600s solar surveillance mobile light tower for industrial projects","mast height | lighting output | battery runtime"
"cp-046-mobile-lighting-systems-ust-900s","mobile-lighting-systems","Solar Surveillance Mobile Light Tower","UST-900S","https://cowinmachine.com/products/mobile-lighting-systems/tower-ust-900s-098 | https://cowinmachine.com/products/mobile-lighting-systems/tower-ust-900s-118 | https://cowinmachine.com/products/mobile-lighting-systems/tower-ust-900s-119 | https://cowinmachine.com/products/mobile-lighting-systems/tower-ust-900s-201","solar mobile light tower | mobile lighting tower | solar light tower | solar surveillance tower","solar light tower | solar surveillance tower | solar CCTV trailer | diesel light tower | hybrid light tower | battery mobile light tower","ust-900s solar mobile light tower | ust-900s specifications | ust-900s solar surveillance mobile light tower for industrial projects","mast height | lighting output | battery runtime"
