canonicalId,category,productFamily,model,auditStatus,industries,applicationSearchTerms,buyerSelectionFactors,publicationStatus
cp-076-compressed-air-equipment-zdyl-20-20,compressed-air-equipment,Diesel Portable Screw Air Compressor,ZDYL-20/20,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Diesel Portable Screw Air Compressor | ZDYL-20/20 | ZDYL-20/20 Diesel Portable Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | portable screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zdyl-20/20 screw air compressor | zdyl-20/20 specifications | zdyl-20/20 diesel portable screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-077-compressed-air-equipment-zd-40,compressed-air-equipment,/25 Diesel Screw Air Compressor,ZD-40,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,/25 Diesel Screw Air Compressor | ZD-40 | ZD-40 /25 Diesel Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd-40 screw air compressor | zd-40 specifications | zd-40/25 diesel screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-078-compressed-air-equipment-zd-20,compressed-air-equipment,/20 Diesel Screw Air Compressor,ZD-20,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,/20 Diesel Screw Air Compressor | ZD-20 | ZD-20 /20 Diesel Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd-20 screw air compressor | zd-20 specifications | zd-20/20 diesel screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-079-compressed-air-equipment-diesel-piston-air-compressor,compressed-air-equipment,Diesel Piston Air Compressor,,duplicate,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Diesel Piston Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | piston air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | diesel piston air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-080-compressed-air-equipment-piston-air-compressor,compressed-air-equipment,Piston Air Compressor,,generic-series,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Piston Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | piston air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-081-compressed-air-equipment-diesel-portable-piston-air-compressor,compressed-air-equipment,Diesel Portable Piston Air Compressor,,duplicate,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Diesel Portable Piston Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | portable screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | piston air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | diesel portable piston air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-111-compressed-air-equipment-lb10,compressed-air-equipment,Screw Air Compressor,LB10,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Screw Air Compressor | LB10 | LB10 Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | lb10 screw air compressor | lb10 specifications | lb10 screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-112-compressed-air-equipment-lb20,compressed-air-equipment,Screw Air Compressor,LB20,requires-owner-confirmation,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Screw Air Compressor | LB20 | LB20 Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | lb20 screw air compressor | lb20 specifications | lb20 screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-113-compressed-air-equipment-lb50,compressed-air-equipment,Stationary Screw Air Compressor,LB50,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Stationary Screw Air Compressor | LB50 | LB50 Stationary Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | stationary screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | lb50 screw air compressor | lb50 specifications | lb50 stationary screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-114-compressed-air-equipment-lb30,compressed-air-equipment,Screw Air Compressor,LB30,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Screw Air Compressor | LB30 | LB30 Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | lb30 screw air compressor | lb30 specifications | lb30 screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-115-compressed-air-equipment-rm160-34,compressed-air-equipment,/8 Screw Air Compressor,RM160-34,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,/8 Screw Air Compressor | RM160-34 | RM160-34 /8 Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | rm160-34 screw air compressor | rm160-34 specifications | rm160-34/8 screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-116-compressed-air-equipment-zd-5,compressed-air-equipment,/8 Diesel Stationary Screw Air Compressor,ZD-5,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,/8 Diesel Stationary Screw Air Compressor | ZD-5 | ZD-5 /8 Diesel Stationary Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | stationary screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | zd-5 screw air compressor | zd-5 specifications | zd-5/8 diesel stationary screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-117-compressed-air-equipment-zd-10,compressed-air-equipment,/10 Diesel Portable Screw Air Compressor,ZD-10,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,/10 Diesel Portable Screw Air Compressor | ZD-10 | ZD-10 /10 Diesel Portable Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | portable screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd-10 screw air compressor | zd-10 specifications | zd-10/10 diesel portable screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-118-compressed-air-equipment-ztv90-8,compressed-air-equipment,Electric Screw Air Compressor,ZTV90-8,requires-owner-confirmation,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Electric Screw Air Compressor | ZTV90-8 | ZTV90-8 Electric Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | ztv90-8 screw air compressor | ztv90-8 specifications | ztv90-8 electric screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-119-compressed-air-equipment-kszj18-17,compressed-air-equipment,Diesel Portable Screw Air Compressor,KSZJ18-17,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Diesel Portable Screw Air Compressor | KSZJ18-17 | KSZJ18-17 Diesel Portable Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | portable screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | kszj18-17 screw air compressor | kszj18-17 specifications | kszj18-17 diesel portable screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-125-compressed-air-equipment-kylc-580,compressed-air-equipment,/17CY Diesel Screw Air Compressor,KYLC-580,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,/17CY Diesel Screw Air Compressor | KYLC-580 | KYLC-580 /17CY Diesel Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | kylc-580 screw air compressor | kylc-580 specifications | kylc-580/17cy diesel screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-126-compressed-air-equipment-zd10,compressed-air-equipment,Screw Air Compressor,ZD10,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Screw Air Compressor | ZD10 | ZD10 Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd10 screw air compressor | zd10 specifications | zd10 screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-127-compressed-air-equipment-zd-31,compressed-air-equipment,/25 Diesel Screw Air Compressor,ZD-31,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,/25 Diesel Screw Air Compressor | ZD-31 | ZD-31 /25 Diesel Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd-31 screw air compressor | zd-31 specifications | zd-31/25 diesel screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-133-compressed-air-equipment-lg10,compressed-air-equipment,Stationary Screw Air Compressor,LG10,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Stationary Screw Air Compressor | LG10 | LG10 Stationary Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | stationary screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | lg10 screw air compressor | lg10 specifications | lg10 stationary screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-134-compressed-air-equipment-zd300-8,compressed-air-equipment,Diesel Portable Screw Air Compressor,ZD300-8,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Diesel Portable Screw Air Compressor | ZD300-8 | ZD300-8 Diesel Portable Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | portable screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd300-8 screw air compressor | zd300-8 specifications | zd300-8 diesel portable screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-082-generator-systems-bf-150kva,generator-systems,Silent Diesel Generator System,BF-150KVA,verified-model,construction sites | remote infrastructure | telecom backup | emergency power | industrial facilities | rental fleets | remote mining operations,Silent Diesel Generator System | BF-150KVA | BF-150KVA Silent Diesel Generator System | diesel generator | generator set | temporary power generator | prime power vs standby power | industrial generator | silent diesel generator | soundproof generator | open-frame diesel generator | mobile generator | bf-150kva diesel generator | bf-150kva specifications | bf-150kva silent diesel generator system for industrial projects | prime power generator | standby power generator,"prime, standby or continuous duty as defined for the project | running load, starting load and load steps | phase, voltage and frequency | ambient temperature and altitude | open-frame versus enclosed installation | fuel storage, service access, noise and local compliance requirements",requires-owner-confirmation
cp-083-generator-systems-zd-30,generator-systems,Silent Diesel Generator System,ZD-30,verified-model,construction sites | remote infrastructure | telecom backup | emergency power | industrial facilities | rental fleets | remote mining operations,Silent Diesel Generator System | ZD-30 | ZD-30 Silent Diesel Generator System | diesel generator | generator set | temporary power generator | prime power vs standby power | industrial generator | silent diesel generator | soundproof generator | open-frame diesel generator | mobile generator | zd-30 diesel generator | zd-30 specifications | zd-30 silent diesel generator system for industrial projects | prime power generator | standby power generator,"prime, standby or continuous duty as defined for the project | running load, starting load and load steps | phase, voltage and frequency | ambient temperature and altitude | open-frame versus enclosed installation | fuel storage, service access, noise and local compliance requirements",requires-owner-confirmation
cp-084-generator-systems-zd-20,generator-systems,Silent Diesel Generator System,ZD-20,verified-model,construction sites | remote infrastructure | telecom backup | emergency power | industrial facilities | rental fleets | remote mining operations,Silent Diesel Generator System | ZD-20 | ZD-20 Silent Diesel Generator System | diesel generator | generator set | temporary power generator | prime power vs standby power | industrial generator | silent diesel generator | soundproof generator | open-frame diesel generator | mobile generator | zd-20 diesel generator | zd-20 specifications | zd-20 silent diesel generator system for industrial projects | prime power generator | standby power generator,"prime, standby or continuous duty as defined for the project | running load, starting load and load steps | phase, voltage and frequency | ambient temperature and altitude | open-frame versus enclosed installation | fuel storage, service access, noise and local compliance requirements",requires-owner-confirmation
cp-085-generator-systems-zd-1000,generator-systems,Silent Diesel Generator System,ZD-1000,verified-model,construction sites | remote infrastructure | telecom backup | emergency power | industrial facilities | rental fleets | remote mining operations,Silent Diesel Generator System | ZD-1000 | ZD-1000 Silent Diesel Generator System | diesel generator | generator set | temporary power generator | prime power vs standby power | industrial generator | silent diesel generator | soundproof generator | open-frame diesel generator | mobile generator | zd-1000 diesel generator | zd-1000 specifications | zd-1000 silent diesel generator system for industrial projects | prime power generator | standby power generator,"prime, standby or continuous duty as defined for the project | running load, starting load and load steps | phase, voltage and frequency | ambient temperature and altitude | open-frame versus enclosed installation | fuel storage, service access, noise and local compliance requirements",requires-owner-confirmation
cp-086-generator-systems-zd-80,generator-systems,Diesel Generator System,ZD-80,verified-model,construction sites | remote infrastructure | telecom backup | emergency power | industrial facilities | rental fleets | remote mining operations,Diesel Generator System | ZD-80 | ZD-80 Diesel Generator System | diesel generator | generator set | temporary power generator | prime power vs standby power | industrial generator | silent diesel generator | soundproof generator | open-frame diesel generator | mobile generator | zd-80 diesel generator | zd-80 specifications | zd-80 diesel generator system for industrial projects | prime power generator | standby power generator,"prime, standby or continuous duty as defined for the project | running load, starting load and load steps | phase, voltage and frequency | ambient temperature and altitude | open-frame versus enclosed installation | fuel storage, service access, noise and local compliance requirements",requires-owner-confirmation
