sourceId,canonicalId,category,sourceName,organization,sourceType,url,accessedAt,evidenceSummary,confidence,useRestriction
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-1,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-005-005,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-2,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-006-006,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-3,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-009-009,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-4,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-010-010,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-5,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-011-011,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-6,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-016-016,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-7,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-033-033,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-8,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-040-040,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-9,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-045-045,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-10,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-047-047,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-11,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-048-048,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-12,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-049-049,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-13,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-050-050,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-14,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-051-051,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-15,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-052-052,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-16,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-061-061,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-17,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-062-062,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-18,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-064-064,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-19,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-065-065,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-20,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-070-070,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-21,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-074-074,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-22,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-075-075,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-23,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-076-076,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-24,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-077-077,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-25,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-078-078,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-26,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-079-079,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-27,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-081-081,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-005-magnetic-separators-magnetic-separator-28,cp-005-magnetic-separators-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-082-082,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-006-magnetic-separators-dry-drum-magnetic-separator-1,cp-006-magnetic-separators-dry-drum-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-007-007,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-007-magnetic-separators-wet-drum-magnetic-separator-1,cp-007-magnetic-separators-wet-drum-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-008-008,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-1,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-012-012,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-2,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-013-013,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-3,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-034-034,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-4,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-035-035,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-5,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-038-038,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-6,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-039-039,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-7,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-041-041,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-8,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-043-043,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-9,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-044-044,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-10,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-066-066,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-008-magnetic-separators-wet-magnetic-separator-11,cp-008-magnetic-separators-wet-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-068-068,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-009-magnetic-separators-drum-magnetic-separator-1,cp-009-magnetic-separators-drum-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-014-014,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-009-magnetic-separators-drum-magnetic-separator-2,cp-009-magnetic-separators-drum-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-017-017,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-009-magnetic-separators-drum-magnetic-separator-3,cp-009-magnetic-separators-drum-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-018-018,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-009-magnetic-separators-drum-magnetic-separator-4,cp-009-magnetic-separators-drum-magnetic-separator,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-series-025-025,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
