category,productName,productUrl,canonicalId,modelReference,pageStatus,auditStatus,reviewReason,imageStatus,parameterStatus
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-041-041","cp-008-magnetic-separators-wet-magnetic-separator","Series-041","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Permanent Dry Magnetic Separator","/products/magnetic-separators/mag-series-042-042","cp-025-magnetic-separators-permanent-dry-magnetic-separator","Series-042","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-043-043","cp-008-magnetic-separators-wet-magnetic-separator","Series-043","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-044-044","cp-008-magnetic-separators-wet-magnetic-separator","Series-044","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-045-045","cp-005-magnetic-separators-magnetic-separator","Series-045","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Dry Magnetic Separator","/products/magnetic-separators/mag-series-046-046","cp-010-magnetic-separators-dry-magnetic-separator","Series-046","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-047-047","cp-005-magnetic-separators-magnetic-separator","Series-047","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-048-048","cp-005-magnetic-separators-magnetic-separator","Series-048","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-049-049","cp-005-magnetic-separators-magnetic-separator","Series-049","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-050-050","cp-005-magnetic-separators-magnetic-separator","Series-050","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-051-051","cp-005-magnetic-separators-magnetic-separator","Series-051","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-052-052","cp-005-magnetic-separators-magnetic-separator","Series-052","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Permanent Suspended Magnetic Separator","/products/magnetic-separators/mag-series-053-053","cp-026-magnetic-separators-permanent-suspended-magnetic-separator","Series-053","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Electromagnetic Suspended Magnetic Separator","/products/magnetic-separators/mag-series-054-054","cp-027-magnetic-separators-electromagnetic-suspended-magnetic-separator","Series-054","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Metal-Detection Magnetic Separator","/products/magnetic-separators/mag-series-055-055","cp-028-magnetic-separators-metal-detection-magnetic-separator","Series-055","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Metal-Detection Magnetic Separator","/products/magnetic-separators/mag-series-056-056","cp-028-magnetic-separators-metal-detection-magnetic-separator","Series-056","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Eddy-Current Magnetic Separator","/products/magnetic-separators/mag-series-057-057","cp-029-magnetic-separators-eddy-current-magnetic-separator","Series-057","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Eddy-Current Magnetic Separator","/products/magnetic-separators/mag-series-058-058","cp-029-magnetic-separators-eddy-current-magnetic-separator","Series-058","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Drum Magnetic Separator","/products/magnetic-separators/mag-series-059-059","cp-009-magnetic-separators-drum-magnetic-separator","Series-059","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Eddy-Current Magnetic Separator","/products/magnetic-separators/mag-series-060-060","cp-029-magnetic-separators-eddy-current-magnetic-separator","Series-060","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-061-061","cp-005-magnetic-separators-magnetic-separator","Series-061","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-062-062","cp-005-magnetic-separators-magnetic-separator","Series-062","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Permanent Overband Magnetic Separator","/products/magnetic-separators/mag-series-063-063","cp-030-magnetic-separators-permanent-overband-magnetic-separator","Series-063","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-064-064","cp-005-magnetic-separators-magnetic-separator","Series-064","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-065-065","cp-005-magnetic-separators-magnetic-separator","Series-065","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-066-066","cp-008-magnetic-separators-wet-magnetic-separator","Series-066","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Roller Magnetic Separator","/products/magnetic-separators/mag-series-067-067","cp-031-magnetic-separators-roller-magnetic-separator","Series-067","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-068-068","cp-008-magnetic-separators-wet-magnetic-separator","Series-068","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCYZ Magnetic Separator","/products/magnetic-separators/mag-rcyz-069","cp-023-magnetic-separators-rcyz","RCYZ","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-070-070","cp-005-magnetic-separators-magnetic-separator","Series-070","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Roller Magnetic Separator","/products/magnetic-separators/mag-series-071-071","cp-031-magnetic-separators-roller-magnetic-separator","Series-071","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Roller Magnetic Separator","/products/magnetic-separators/mag-series-072-072","cp-031-magnetic-separators-roller-magnetic-separator","Series-072","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Roller Magnetic Separator","/products/magnetic-separators/mag-series-073-073","cp-032-magnetic-separators-wet-roller-magnetic-separator","Series-073","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-074-074","cp-005-magnetic-separators-magnetic-separator","Series-074","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-075-075","cp-005-magnetic-separators-magnetic-separator","Series-075","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-076-076","cp-005-magnetic-separators-magnetic-separator","Series-076","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-077-077","cp-005-magnetic-separators-magnetic-separator","Series-077","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-078-078","cp-005-magnetic-separators-magnetic-separator","Series-078","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-079-079","cp-005-magnetic-separators-magnetic-separator","Series-079","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Permanent Magnetic Separator","/products/magnetic-separators/mag-series-080-080","cp-033-magnetic-separators-permanent-magnetic-separator","Series-080","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-081-081","cp-005-magnetic-separators-magnetic-separator","Series-081","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-082-082","cp-005-magnetic-separators-magnetic-separator","Series-082","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-series-083-083","cp-034-magnetic-separators-electromagnetic-magnetic-separator","Series-083","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Permanent Magnetic Separator","/products/magnetic-separators/mag-series-084-084","cp-033-magnetic-separators-permanent-magnetic-separator","Series-084","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-series-085-085","cp-034-magnetic-separators-electromagnetic-magnetic-separator","Series-085","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Automatic-Discharge Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-series-086-086","cp-035-magnetic-separators-automatic-discharge-electromagnetic-magnetic-separat","Series-086","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Automatic-Discharge Permanent Magnetic Separator","/products/magnetic-separators/mag-series-087-087","cp-036-magnetic-separators-automatic-discharge-permanent-magnetic-separator","Series-087","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-series-088-088","cp-034-magnetic-separators-electromagnetic-magnetic-separator","Series-088","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","TOWER-UST300L Solar Mobile Light Tower","/products/mobile-lighting-systems/tower-tower-ust300l-089","cp-037-mobile-lighting-systems-tower-ust300l-solar-mobile-light-tower","","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","UST600L Solar Mobile Light Tower","/products/mobile-lighting-systems/tower-ust600l-090","cp-038-mobile-lighting-systems-ust600l","UST600L","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","SITE-UST900L Solar Mobile Light Tower","/products/mobile-lighting-systems/tower-site-ust900l-091","cp-039-mobile-lighting-systems-site-ust900l-solar-mobile-light-tower","","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","TOWER-UST1200L Solar Mobile Light Tower","/products/mobile-lighting-systems/tower-tower-ust1200l-092","cp-040-mobile-lighting-systems-tower-ust1200l-solar-mobile-light-tower","","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","TOWER-UST1800L Solar Mobile Light Tower","/products/mobile-lighting-systems/tower-tower-ust1800l-093","cp-041-mobile-lighting-systems-tower-ust1800l-solar-mobile-light-tower","","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","TOWER-UST2400L Solar Mobile Light Tower","/products/mobile-lighting-systems/tower-tower-ust2400l-094","cp-042-mobile-lighting-systems-tower-ust2400l-solar-mobile-light-tower","","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","Solar Mobile Light Tower","/products/mobile-lighting-systems/tower-series-095-095","cp-043-mobile-lighting-systems-solar-mobile-light-tower","","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","UST-300S Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-ust-300s-096","cp-044-mobile-lighting-systems-ust-300s","UST-300S","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","UST-600S Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-ust-600s-097","cp-045-mobile-lighting-systems-ust-600s","UST-600S","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","UST-900S Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-ust-900s-098","cp-046-mobile-lighting-systems-ust-900s","UST-900S","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","UST1200 Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-ust1200-099","cp-047-mobile-lighting-systems-ust1200","UST1200","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","BLOCK-UBT300S Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-block-ubt300s-100","cp-048-mobile-lighting-systems-block-ubt300s-solar-surveillance-mobile-light-to","","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-series-101-101","cp-049-mobile-lighting-systems-solar-surveillance-mobile-light-tower","","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","UGT-10QL Mobile Light Tower","/products/mobile-lighting-systems/tower-ugt-10ql-102","cp-050-mobile-lighting-systems-ugt-10ql","UGT-10QL","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","UGT-1600 Diesel Mobile Light Tower","/products/mobile-lighting-systems/tower-ugt-1600-103","cp-051-mobile-lighting-systems-ugt-1600","UGT-1600","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","GDQ5A-4R Diesel Mobile Light Tower","/products/mobile-lighting-systems/tower-gdq5a-4r-104","cp-052-mobile-lighting-systems-gdq5a-4r","GDQ5A-4R","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","UST-600S Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-ust-600s-105","cp-045-mobile-lighting-systems-ust-600s","UST-600S","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","UGT4000PLED Diesel Mobile Light Tower","/products/mobile-lighting-systems/tower-ugt4000pled-106","cp-053-mobile-lighting-systems-ugt4000pled","UGT4000PLED","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","UGT4000PMH Diesel Mobile Light Tower","/products/mobile-lighting-systems/tower-ugt4000pmh-107","cp-054-mobile-lighting-systems-ugt4000pmh","UGT4000PMH","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","UGT-7000PLED Diesel Mobile Light Tower","/products/mobile-lighting-systems/tower-ugt-7000pled-108","cp-055-mobile-lighting-systems-ugt-7000pled","UGT-7000PLED","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","X-CUBE X-CUBE HYBRID Diesel Mobile Light Tower","/products/mobile-lighting-systems/tower-x-cube-x-cube-hybrid-109","cp-056-mobile-lighting-systems-x-cube-x-cube-hybrid","X-CUBE X-CUBE HYBRID","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","TRAILERS-UHT7000PLED Mobile Light Tower","/products/mobile-lighting-systems/tower-trailers-uht7000pled-110","cp-057-mobile-lighting-systems-trailers-uht7000pled-mobile-light-tower","","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","UST-300S Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-ust-300s-111","cp-044-mobile-lighting-systems-ust-300s","UST-300S","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"mobile-lighting-systems","T-720AP Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-t-720ap-112","cp-058-mobile-lighting-systems-t-720ap","T-720AP","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","UNI-T1 Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-uni-t1-113","cp-059-mobile-lighting-systems-uni-t1","UNI-T1","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","UST-600 Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-ust-600-114","cp-060-mobile-lighting-systems-ust-600","UST-600","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","UNI-T2A Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-uni-t2a-115","cp-061-mobile-lighting-systems-uni-t2a","UNI-T2A","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","UNI-T2C Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-uni-t2c-116","cp-062-mobile-lighting-systems-uni-t2c","UNI-T2C","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
"mobile-lighting-systems","UNI-T2H Solar Surveillance Mobile Light Tower","/products/mobile-lighting-systems/tower-uni-t2h-117","cp-063-mobile-lighting-systems-uni-t2h","UNI-T2H","full-technical-content","verified-model","No profile generated.","Authorized project image available","Captured catalog fields shown; verify before quotation"
